,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
2525,"{'id': 2805, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2805.json'}",ܩܝܛܘܢܐ,"{'Arabic': ['غرفة النوم'], 'French': ['chambre à coucher'], 'English': ['bedchamber', 'inner room, bedchamber.']}",{'Greek': ['κοιτών']},"{'id': 1654, 'uri': 'https://sedra.bethmardutho.org/api/root/1654.json'}","[{'id': 18322, 'uri': 'https://sedra.bethmardutho.org/api/word/18322.json'}]",noun,,Greek,κοιτών
2528,"{'id': 2808, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2808.json'}",ܩܢܕܝܢܘܣ,"{'English': ['peril', 'danger']}",{'Greek': ['κίνδυνος']},"{'id': 1656, 'uri': 'https://sedra.bethmardutho.org/api/root/1656.json'}","[{'id': 18329, 'uri': 'https://sedra.bethmardutho.org/api/word/18329.json'}, {'id': 18330, 'uri': 'https://sedra.bethmardutho.org/api/word/18330.json'}]",noun,,Greek,κίνδυνος
2536,"{'id': 2816, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2816.json'}",ܩܝܬܪܐ,"{'Arabic': ['قيثارة'], 'French': ['cithare'], 'English': ['harp', 'instrument', 'stringed instrument, cithern, harp, lyre.']}",{'Greek': ['κιθάρα']},"{'id': 1664, 'uri': 'https://sedra.bethmardutho.org/api/root/1664.json'}","[{'id': 18349, 'uri': 'https://sedra.bethmardutho.org/api/word/18349.json'}, {'id': 18346, 'uri': 'https://sedra.bethmardutho.org/api/word/18346.json'}, {'id': 18347, 'uri': 'https://sedra.bethmardutho.org/api/word/18347.json'}, {'id': 27908, 'uri': 'https://sedra.bethmardutho.org/api/word/27908.json'}, {'id': 18348, 'uri': 'https://sedra.bethmardutho.org/api/word/18348.json'}, {'id': 18350, 'uri': 'https://sedra.bethmardutho.org/api/word/18350.json'}]",noun,,Greek,κιθάρα
2537,"{'id': 2817, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2817.json'}",ܩܝܬܪܘܕܐ,"{'Arabic': ['عازف القيثارة'], 'French': ['cithariste'], 'English': ['harpist', 'musician', 'player on cithern (etc.).']}",{'Greek': ['κιθαρῳδός']},"{'id': 1664, 'uri': 'https://sedra.bethmardutho.org/api/root/1664.json'}","[{'id': 18351, 'uri': 'https://sedra.bethmardutho.org/api/word/18351.json'}]",noun,,Greek,κιθαρῳδός
2543,"{'id': 2823, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2823.json'}",ܩܠܝܕܐ,"{'Arabic': ['مفتاح', 'إبزيم'], 'French': ['clef', 'agrafe'], 'English': ['key', 'key.']}",{'Greek': ['κλείω']},"{'id': 1669, 'uri': 'https://sedra.bethmardutho.org/api/root/1669.json'}","[{'id': 18388, 'uri': 'https://sedra.bethmardutho.org/api/word/18388.json'}, {'id': 18389, 'uri': 'https://sedra.bethmardutho.org/api/word/18389.json'}]",noun,,Greek,κλείω
2548,"{'id': 2828, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2828.json'}",ܩܠܣ,"{'Arabic': ['مدح, عظم (مض)', 'صدق على', '\xa0'], 'French': ['louer, célébrer', 'approuver', '\xa0'], 'English': ['laud', 'IIa to applaud, praise', 'IIp.', 'a Pharisee, belonging to an approved heresy']}",{'Greek': ['καλῶς']},"{'id': 1673, 'uri': 'https://sedra.bethmardutho.org/api/root/1673.json'}","[{'id': 58178, 'uri': 'https://sedra.bethmardutho.org/api/word/58178.json'}, {'id': 18398, 'uri': 'https://sedra.bethmardutho.org/api/word/18398.json'}]",verb,,Greek,καλῶς
2563,"{'id': 2845, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2845.json'}",ܩܢܛܪܘܢܐ,"{'Arabic': ['قائد مئة جندي'], 'French': ['centurion'], 'English': ['centurion', 'centurion.']}",{'Greek': ['κεντυρίων']},"{'id': 1683, 'uri': 'https://sedra.bethmardutho.org/api/root/1683.json'}","[{'id': 18468, 'uri': 'https://sedra.bethmardutho.org/api/word/18468.json'}, {'id': 18469, 'uri': 'https://sedra.bethmardutho.org/api/word/18469.json'}, {'id': 18470, 'uri': 'https://sedra.bethmardutho.org/api/word/18470.json'}, {'id': 18471, 'uri': 'https://sedra.bethmardutho.org/api/word/18471.json'}, {'id': 18472, 'uri': 'https://sedra.bethmardutho.org/api/word/18472.json'}, {'id': 18473, 'uri': 'https://sedra.bethmardutho.org/api/word/18473.json'}]",noun,,Greek,κεντυρίων
2568,"{'id': 2850, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2850.json'}",ܩܣܛܐ,"{'Arabic': ['إناء', 'قسط'], 'French': ['vase', 'setier'], 'English': ['pint', 'pitcher', 'jug', 'jug', 'liquid measure.', 'pint']}",{'Greek': ['ξέστης']},"{'id': 1688, 'uri': 'https://sedra.bethmardutho.org/api/root/1688.json'}","[{'id': 18482, 'uri': 'https://sedra.bethmardutho.org/api/word/18482.json'}, {'id': 18483, 'uri': 'https://sedra.bethmardutho.org/api/word/18483.json'}, {'id': 18484, 'uri': 'https://sedra.bethmardutho.org/api/word/18484.json'}]",noun,,Greek,ξέστης
2569,"{'id': 2851, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2851.json'}",ܩܣܛܘܢܪܐ,"{'Arabic': ['معذب'], 'French': ['bourreau, tortionnaire'], 'English': ['guard', 'gaoler', 'executioner.']}",{'Latin': ['quaestionarius']},"{'id': 1689, 'uri': 'https://sedra.bethmardutho.org/api/root/1689.json'}","[{'id': 18485, 'uri': 'https://sedra.bethmardutho.org/api/word/18485.json'}, {'id': 18437, 'uri': 'https://sedra.bethmardutho.org/api/word/18437.json'}, {'id': 18486, 'uri': 'https://sedra.bethmardutho.org/api/word/18486.json'}]",noun,,Latin,quaestionarius
2570,"{'id': 2852, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2852.json'}",ܩܣܪ,"{'Arabic': ['قيصر', 'ملجأ'], 'French': ['cézar', 'refuge'], 'English': ['Caesar', 'caesar, emperor.']}",{'Greek': ['Καῖσαρ']},"{'id': 1690, 'uri': 'https://sedra.bethmardutho.org/api/root/1690.json'}","[{'id': 18487, 'uri': 'https://sedra.bethmardutho.org/api/word/18487.json'}, {'id': 18488, 'uri': 'https://sedra.bethmardutho.org/api/word/18488.json'}, {'id': 18490, 'uri': 'https://sedra.bethmardutho.org/api/word/18490.json'}, {'id': 18489, 'uri': 'https://sedra.bethmardutho.org/api/word/18489.json'}]",proper noun,,Greek,Καῖσαρ
